id	year	month	day	hour	minute	sex	age	handedness	message_viewing_time	block	trial_num	trial_initiation_time	fixation_duration	cue_modality	cue_location	target_location	target_modality	target_response_key	target_response_rt	pre_target_response	feedback_response	recalibration	blink	saccade	biggest_small_saccade	critical_blink	critical_saccade
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	51	0.774418608984	1.22846521049	visual	right	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	52	2.07426155097	0.564892814169	tactile	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	53	0.567878408008	0.66069769864	visual	right	catch	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	54	1.20591787604	1.47283326115	visual	right	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	55	0.60216533998	0.570328356985	visual	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	56	7.83837024402	0.812701845487	tactile	right	left	tactile	NA	656.23675019	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	57	1.60595288	1.43864635339	visual	right	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	58	4.93141594401	1.31556049667	tactile	right	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	59	1.363963729	1.44806320491	tactile	left	left	tactile	NA	658.133093792	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	60	1.331539181	1.16499001479	visual	right	left	visual	NA	607.744168898	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	61	1.25368388003	0.760132960536	visual	left	right	visual	NA	565.23867714	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	62	1.29169446096	1.41741107419	tactile	right	left	tactile	NA	529.01038545	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	63	0.906415991019	1.46312777793	visual	right	right	tactile	NA	540.017804713	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	64	1.24685365398	1.02988222774	tactile	right	left	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	65	1.63358621998	0.544106219908	visual	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	66	0.773380197003	1.08446152644	tactile	right	left	tactile	NA	597.997068253	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	67	1.47734825296	1.17148897436	visual	right	right	visual	NA	700.539171346	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	68	0.820528484997	1.25758217559	tactile	right	left	visual	NA	519.47322808	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	69	0.947480689036	1.27055403062	tactile	right	left	visual	NA	459.415264078	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	70	1.02990631398	1.42611579715	tactile	left	left	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	71	1.53682865098	1.30732438763	visual	left	right	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	72	0.605992308003	1.263714776	tactile	left	left	tactile	NA	600.638034637	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	73	1.03058933397	1.39192151973	tactile	right	left	tactile	NA	545.676639944	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	74	1.17240667896	0.875204922915	visual	right	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	75	1.43901928404	1.46168432738	tactile	right	left	tactile	NA	564.848073234	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	76	1.10657636996	1.35119095326	visual	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	77	1.93666748796	1.01707603561	visual	left	left	visual	NA	763.133488013	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	78	1.03494635801	1.0514604165	visual	right	right	visual	NA	516.814522154	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	79	1.06177704601	0.92374008317	visual	left	right	visual	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	57.187287299	practice	80	1.60813373397	1.35098703855	visual	left	right	tactile	NA	430.619416118	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	17.797222154	practice	81	1.78664951999	0.977418196301	visual	left	left	tactile	NA	498.796493339	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	17.797222154	practice	82	1.213441486	1.34368238418	visual	left	right	visual	NA	771.640747495	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	1	1.50230842299	1.29940652497	visual	left	left	tactile	NA	613.456335675	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	2	0.902267390979	1.14112629604	tactile	left	right	tactile	NA	502.153027686	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	3	0.932129291003	1.43599794242	tactile	right	right	visual	NA	497.145448287	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	4	0.70920265303	1.32489276259	visual	right	left	tactile	voice	NA	TRUE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	FALSE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	5	1.19051843596	1.36741272929	visual	right	left	visual	NA	546.789375308	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	6	0.833492388017	1.43954423352	visual	right	left	tactile	NA	353.768088098	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	7	0.761473402032	0.644662713586	tactile	left	catch	tactile	NA	NA	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	8	0.748185445031	0.736705408451	tactile	right	right	visual	NA	505.529985239	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	9	1.01048782904	0.5085003953	tactile	right	right	tactile	NA	601.11374734	FALSE	FALSE	FALSE	FALSE	TRUE	0	FALSE	TRUE	TRUE
p03	2015	07	02	14	35	f	21	l	47.204467208	1	10	0.839007852017	1.4802074981	tactile	right	right	tactile	NA	468.834345578	FALSE	FALSE	FALSE	FALSE	FALSE	0	FALSE	FALSE	TRUE
